A)
Gaussian wavelet:
Number of neurons : 8
Lowest found cost: 0.0778493
Optimal p = [-1.476, 0.709101, -1.86171, -1.26858, -0.118404, 0.899121, 0.460178, 0.971936]
            [-0.159075, 1.62448, 0.118801, 0.530285, 0.439675, -1.72938, -0.46258, -1.85491]
            [-1.12411, 0.692006, -1.96921, 1.89747, 1.59834, -1.29359, 1.43661, 0.930652]

Wavelet:
Number of neurons : 8
Lowest found cost: 0.55057
Optimal p = [-1.47357, 0.699911, -1.86171, -1.90326, 0.0745917, 1.13138, 1.45325, 0.854154]
            [-0.166163, 1.74331, 0.118801, 0.608848, 0.892025, -1.95451, -1.05984, -1.60929]
            [-1.12414, 0.0166525, -1.96921, 1.68419, 0.791982, -0.834909, 1.73735, 1.42689]



-1 0.353227 0.340257 0.420101
-0.997998 0.353592 0.341414 0.417291
-0.995996 0.353916 0.342509 0.414482
-0.993994 0.354198 0.343541 0.411673
-0.991992 0.354438 0.344511 0.408867
-0.98999 0.354636 0.345418 0.406062
-0.987988 0.354792 0.346263 0.40326
-0.985986 0.354905 0.347044 0.400461
-0.983984 0.354974 0.347761 0.397664
-0.981982 0.355 0.348416 0.394872
-0.97998 0.354982 0.349006 0.392083
-0.977978 0.35492 0.349533 0.389297
-0.975976 0.354814 0.349996 0.386516
-0.973974 0.354662 0.350395 0.383739
-0.971972 0.354466 0.35073 0.380966
-0.96997 0.354224 0.351001 0.378198
-0.967968 0.353936 0.351208 0.375434
-0.965966 0.353602 0.35135 0.372674
-0.963964 0.353222 0.351428 0.369919
-0.961962 0.352796 0.351441 0.367168
-0.95996 0.352322 0.35139 0.364421
-0.957958 0.351802 0.351274 0.361679
-0.955956 0.351234 0.351094 0.358941
-0.953954 0.350618 0.350849 0.356206
-0.951952 0.349954 0.350539 0.353475
-0.94995 0.349242 0.350165 0.350748
-0.947948 0.348482 0.349726 0.348024
-0.945946 0.347673 0.349222 0.345302
-0.943944 0.346815 0.348654 0.342584
-0.941942 0.345908 0.348021 0.339868
-0.93994 0.344951 0.347324 0.337154
-0.937938 0.343945 0.346562 0.334442
-0.935936 0.342889 0.345736 0.331731
-0.933934 0.341783 0.344845 0.329021
-0.931932 0.340627 0.34389 0.326312
-0.92993 0.33942 0.342871 0.323603
-0.927928 0.338163 0.341787 0.320894
-0.925926 0.336855 0.340639 0.318184
-0.923924 0.335496 0.339428 0.315474
-0.921922 0.334086 0.338152 0.312761
-0.91992 0.332625 0.336812 0.310047
-0.917918 0.331112 0.335409 0.30733
-0.915916 0.329547 0.333942 0.30461
-0.913914 0.327931 0.332412 0.301886
-0.911912 0.326263 0.330818 0.299159
-0.90991 0.324543 0.329162 0.296426
-0.907908 0.32277 0.327442 0.293689
-0.905906 0.320946 0.325659 0.290946
-0.903904 0.319069 0.323813 0.288197
-0.901902 0.317139 0.321905 0.28544
-0.8999 0.315157 0.319935 0.282677
-0.897898 0.313122 0.317902 0.279906
-0.895896 0.311035 0.315807 0.277126
-0.893894 0.308895 0.313651 0.274336
-0.891892 0.306701 0.311433 0.271538
-0.88989 0.304455 0.309153 0.268728
-0.887888 0.302156 0.306812 0.265908
-0.885886 0.299804 0.30441 0.263077
-0.883884 0.297399 0.301947 0.260233
-0.881882 0.29494 0.299424 0.257376
-0.87988 0.292429 0.29684 0.254507
-0.877878 0.289864 0.294196 0.251623
-0.875876 0.287246 0.291493 0.248725
-0.873874 0.284575 0.28873 0.245811
-0.871872 0.281851 0.285907 0.242882
-0.86987 0.279074 0.283026 0.239936
-0.867868 0.276243 0.280085 0.236974
-0.865866 0.27336 0.277086 0.233993
-0.863864 0.270423 0.274029 0.230995
-0.861862 0.267433 0.270914 0.227978
-0.85986 0.264391 0.267741 0.224941
-0.857858 0.261295 0.264511 0.221884
-0.855856 0.258147 0.261224 0.218807
-0.853854 0.254946 0.25788 0.215708
-0.851852 0.251693 0.25448 0.212588
-0.84985 0.248387 0.251023 0.209446
-0.847848 0.245028 0.247511 0.20628
-0.845846 0.241617 0.243944 0.203091
-0.843844 0.238154 0.240321 0.199878
-0.841842 0.234639 0.236643 0.19664
-0.83984 0.231072 0.232912 0.193378
-0.837838 0.227453 0.229126 0.190089
-0.835836 0.223783 0.225286 0.186774
-0.833834 0.220061 0.221393 0.183433
-0.831832 0.216288 0.217448 0.180064
-0.82983 0.212463 0.213449 0.176668
-0.827828 0.208588 0.209399 0.173243
-0.825826 0.204662 0.205296 0.169789
-0.823824 0.200685 0.201143 0.166307
-0.821822 0.196659 0.196938 0.162794
-0.81982 0.192582 0.192683 0.159252
-0.817818 0.188455 0.188378 0.155678
-0.815816 0.184279 0.184023 0.152074
-0.813814 0.180053 0.179618 0.148438
-0.811812 0.175778 0.175165 0.144771
-0.80981 0.171455 0.170663 0.14107
-0.807808 0.167083 0.166114 0.137338
-0.805806 0.162662 0.161516 0.133572
-0.803804 0.158194 0.156872 0.129773
-0.801802 0.153678 0.152181 0.12594
